ID,a_num_id,b_num_id
950,183,1302
951,169,1303
952,630,195
953,230,1304
954,230,635
955,631,188
956,632,177
957,633,177
958,634,178
959,195,351
960,635,230
961,177,1305
962,636,177
963,4,1306
964,188,629
965,178,1054
966,4,880
967,177,1307
968,188,1308
969,177,1309
970,637,195
971,638,3
972,639,183
973,640,177
974,3,1310
975,4,1311
976,183,817
977,188,1056
978,169,883
979,177,1312
980,641,178
981,642,183
982,183,1313
983,169,996
984,643,177
985,195,1314
986,195,1315
987,644,178
988,645,177
989,177,1010
990,646,183
991,178,1316
992,647,195
993,648,177
994,177,363
995,649,177
996,183,1317
997,650,195
998,651,195
999,195,1318
1000,652,195
1001,653,177
1002,177,653
1003,195,668
1004,177,654
1005,654,177
1006,655,177
1007,656,4
1008,177,655
1009,657,183
1010,183,332
1011,658,195
1012,177,680
1013,195,651
1014,659,183
1015,195,660
1016,177,1319
1017,660,195
1018,230,721
1019,661,177
1020,178,1320
1021,177,662
1022,195,845
1023,662,177
1024,663,1186
1025,447,183
1026,183,1321
1027,177,877
1028,4,422
1029,664,177
1030,665,183
1031,4,1322
1032,230,1323
1033,4,669
1034,178,1324
1035,195,333
1036,666,195
1037,4,12
1038,178,1325
1039,667,195
1040,668,195
1041,669,4
1042,670,195
1043,177,708
1044,4,1326
1045,169,1327
1046,671,183
1047,672,195
1048,178,1328
1049,183,1329
1050,673,183
1051,674,177
1052,675,1186
1053,183,1330
1054,676,195
1055,177,719
1056,677,195
1057,678,4
1058,679,195
1059,195,679
1060,195,1061
1061,680,177
1062,681,178
1063,682,3
1064,683,177
1065,684,177
1066,169,1331
1067,177,280
1068,169,1332
1069,685,3
1070,178,1333
1071,686,177
1072,177,1334
1073,687,177
1074,688,177
1075,177,688
1076,183,1335
1077,689,195
1078,183,1336
1079,690,177
1080,691,177
1081,692,177
1082,693,177
1083,694,1186
1084,695,195
1085,696,178
1086,697,177
1087,177,697
1088,698,183
1089,169,1075
1090,195,1086
1091,177,1078
1092,699,4
1093,178,394
1094,183,711
1095,195,1337
1096,700,169
1097,188,1338
1098,701,177
1099,177,1007
1100,178,1339
1101,702,3
1102,703,177
1103,177,954
1104,704,195
1105,177,925
1106,705,177
1107,3,147
1108,540,188
1109,706,195
1110,178,707
1111,707,178
1112,177,1340
1113,708,177
1114,177,1341
1115,195,1342
1116,188,1082
1117,177,1081
1118,709,230
1119,230,1077
1120,710,178
1121,711,183
1122,712,195
1123,713,178
1124,714,178
1125,183,1343
1126,177,762
1127,169,1344
1128,715,177
1129,169,1345
1130,716,195
1131,188,1346
1132,195,716
1133,717,1186
1134,718,177
1135,719,177
1136,720,188
1137,721,195
1138,722,183
1139,723,230
1140,177,633
1141,188,1347
1142,177,1348
1143,724,195
1144,177,1085
1145,725,195
1146,726,183
1147,727,3
1148,728,3
1149,729,178
1150,183,1083
1151,730,195
1152,731,1186
1153,732,195
1154,177,733
1155,733,177
1156,604,177
1157,734,169
1158,735,177
1159,736,177
1160,169,2
1161,737,177
1162,738,177
1163,739,177
1164,740,183
1165,177,604
1166,177,735
1167,414,183
1168,195,748
1169,741,230
